STT,Tên doanh nghiệp,Tên viết tắt,Loại hình doanh nghiệp,Lĩnh vực hoạt động,Vốn điều lệ (VND),Website,Điện thoại,Fax,Địa chỉ trụ sở,Tên người đại diện theo pháp luật,Đơn vị XHTN gần nhất,Kết quả XHTN gần nhất,Ngày hiệu lực
472,MAVC - Công ty cổ phần chứng khoán Mirae Asset (Việt Nam),MAS,Công ty cổ phần,Kinh doanh chứng khoán,6590500000000.0,masvn.com,842839102222,842839110678,"Tầng 7 tòa nhà Le Meridien, 3C Tôn Đức Thắng, phường Bến Nghé, Quận 1, TP. Hồ Chí Minh",Kang Moon Kyung,,,
473,MBB - NGÂN HÀNG TMCP QUÂN ĐỘI,MB,Công ty cổ phần,Tổ chức tín dụng,80549999090000.0,mbbank.com.vn,0462661088,0462661080,"Số 18 Lê Văn Lương, Phường Yên Hòa, Hà Nội",,,,
474,MBDC - Công ty TNHH Đầu tư và Tư vấn Quản lý Biển Đông,"EAST SEA INVEST CO.,LTD",Công ty trách nhiệm hữu hạn,Lĩnh vực khác,880000000000.0,none,0763271516,0,"PHÒNG 706 TẦNG 7, TÒA NHÀ 362 PHỐ HUẾ, PHƯỜNG PHỐ HUẾ, QUẬN HAI BÀ TRƯNG, HÀ NỘI",Hoàng Thị Kim Thanh,,,
475,MBLC - CTCP MBLAND TONKIN,"MBLAND TONKIN.,JSC",Công ty cổ phần,Bất động sản,600000000000.0,lemeridiencedanang.com,02439334433,02439334433,"Km 0 đường Thanh Niên ven biển, KP Viêm Đông, Phường Điện Ngọc, Thị xã Điện Bàn, Tỉnh Quảng Nam, Việt Nam",Nguyễn Xuân Quang,,,
476,MBS - Công ty Cổ phần Chứng khoán MB,MBS,Công ty cổ phần,Kinh doanh chứng khoán,10009634510000.0,WWW.MBS.COM.VN,02473045688,02437262601,"Khu vực 1-Tầng 7-8, Tòa MB, số 21 Cát Linh, Phường Ô Chợ Dừa, TP. Hà Nội",Phan Phương Anh,Công ty cổ phần Xếp hạng Tín nhiệm Đầu tư Việt Nam (VIS Ratings),A+,15/05/2025
477,MBTC - Công ty cổ phần Bất động sản cho thuê Minh Bảo Tín,Công ty cổ phần Bất động sản cho thuê Minh Bảo Tín,Công ty cổ phần,Bất động sản,38000000000.0,minhbaotin.com,0931 818 999,0931 818 999,"Số 28 đường số 5, Khu phố 3, Phường Phú Lợi, TP. Thủ Dầu Một, Tỉnh Bình Dương",Phan Thị Kiều Oanh; Đặng Trọng Khang,,,
478,MCCC - CÔNG TY TNHH CUNG ỨNG VÀ THƯƠNG MẠI MÙA XUÂN,CUNG ỨNG VÀ THƯƠNG MẠI MÙA XUÂN,Công ty trách nhiệm hữu hạn,"Thương mại, dịch vụ",50000000000.0,https://muaxuan.com,0395304636,0982204928,"Xóm 4, xã Yên Mỹ , Huyện Thanh Trì, Thành Phố Hà Nội, Việt Nam",Đào Thị Lan,,,
479,MCHC - Công ty TNHH MASANCONSUMERHOLDINGS,MCHC,Công ty trách nhiệm hữu hạn,"Thương mại, dịch vụ",602700000000.0,Không có,02862563862,02838274115,"Số 23 Lê Duẩn, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh",MICHAEL HUNG NGUYEN,,,
480,MFFC - CÔNG TY TÀI CHÍNH TNHH MỘT THÀNH VIÊN MIRAE ASSET (VIỆT NAM),CÔNG TY TÀI CHÍNH MIRAE ASSET,Công ty trách nhiệm hữu hạn,Tổ chức tín dụng,2000000000000.0,http://mafc.com.vn/,02873032777,02862990894,"91 Pasteur, Phường Sài Gòn, TP Hồ Chí Minh",Jin Sehwan; LEE YUN HYOUNG; Lee JaYong,,,
481,MIPC - CTCP Năng lượng Thiên niên Kỷ,"MILLPOWER.,JSC",Công ty cổ phần,Năng lượng,270000000000.0,Chưa có,024 3794 6868,024 3794 6868,"Thôn Hồng Trung, xã Hồng Phong, huyện Bắc Bình, tỉnh Bình Thuận",Vũ Quang Bảo; Vũ Quang Nam,,,
482,MIVC - CTCP Đầu tư MHC,MHC (HNX),Công ty cổ phần,Lĩnh vực khác,198000000000.0,Không có,02435770810,02435770814,"Tầng 18, số 52 phố Lê Đại Hành, phường Lê Đại Hành, quận Hai Bà Trung, TP. Hà Nội",,,,
483,MKDC - CÔNG TY TNHH MINH KHANG ĐIỀN,MKD,Công ty trách nhiệm hữu hạn,Bất động sản,150000000000.0,ctyminhkhangdien@gmail.com,0903966495,0903966495,"29A Nguyễn Đình Chiểu, Phường Đa Kao, Quận 1, TP.Hồ Chí Minh.",Lê Đình Giáo,,,
484,MKHC - Công ty TNHH Đầu tư Phát triển Mỹ Khánh,My Khanh company,Công ty trách nhiệm hữu hạn,Bất động sản,400000000000.0,0,02838380303,0,"108, Trần Đình Xu, Phường Nguyễn Cư Trinh, Quận 1, TP.Hồ Chí Minh",Trần Kiên,,,
485,MKIC - CTCP Tư vấn Đầu tư và Kỹ thuật Mê Kông,MITCO CO.LTD,Công ty cổ phần,Lĩnh vực khác,340000000000.0,,02838380304,02839246130,"LẦU 6, TÒA NHÀ LE MERIDIEN, SỐ 3C TÔN ĐỨC THẮNG, PHƯỜNG BẾN NGHÉ, QUẬN 1, TP HỒ CHÍ MINH",,,,
486,MLOC - CÔNG TY CỔ PHẦN DỊCH VỤ CAO ỐC MASTERISE LUMIERE OFFICE,MASTERISE LUMIERE OFFICE JSC.,Công ty cổ phần,Bất động sản,4254659410000.0,,0325830188,0,"Lô TMDV-02 Khu đô thị mới Bắc Sông Cấm, Phường Thủy Nguyên, Thành phố Hải Phòng, Việt Nam",,Công ty cổ phần Sài Gòn Phát Thịnh Ratings (Saigon Ratings),vnBB+,28/07/2026
487,MMJC - Công ty Cổ phần Marina Mekong,MMJC,Công ty cổ phần,Bất động sản,150000000000.0,mmjh.marina@gmail.com,0938485538,0938485538,"65 Nguyễn Du, Phường Bến Nghé, Quận 1, TP.HCM",Lê Thanh Liêm,,,
488,MML - CTCP Masan MeatLife,Masan MEATLife,Công ty cổ phần,Lĩnh vực khác,3267148470000.0,http://masanmeatlife.com.vn,02862563862,02838274115,"Lầu 10, Tòa nhà Central Plaza, số 17 Lê Duẩn, P. Bến Nghé, Q. 1, Tp. HCM",Danny Le,,,
489,MNAC - CÔNG TY TNHH MAVIN AUSTFEED NGHỆ AN,MAVIN AUSTFEED NGHE AN,Công ty trách nhiệm hữu hạn,Sản xuất,200000000000.0,www.mavin-group.com,0,0,"Khu B - KCN Nam Cấm, KKT Đông Nam, xã Trung Lộc, tỉnh Nghệ An",Lưu Quốc Hưng; Trần Việt Thắng; Đào Mạnh Hòa,,,
490,MNRC - CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ DỊCH VỤ ĐẤT XANH MIỀN NAM,ĐXMN,Công ty cổ phần,Bất động sản,272400000000.0,https://datxanhmiennam.com.vn,1900232427,02838996353,"27 Đinh Bộ Lĩnh, Phường 24, Quận Bình Thạnh, Tp. Hồ Chí Minh",Đỗ Văn Mạnh,,,
491,MNVC - CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ MIVI VIỆT NAM,"MIVI VINA CO.,LTD",Công ty trách nhiệm hữu hạn,Bất động sản,210000000000.0,tc.maihongnhung@gmail.com,02435772308,02435772308,"số 24 Quang Trung, Phường Trần Hưng Đạo, Quận Hoàn Kiếm, Hà Nội",Đặng Hữu Huy,,,
492,MNXC - CTCP XUẤT NHẬP KHẨU KHOÁNG SẢN,"MINEXPORT.,JSC",Công ty cổ phần,Lĩnh vực khác,800000000000.0,www.minex.vn,02437173026,02437173026,"Số 28, phố Bà Triệu, Phường Hàng Bài, Quận Hoàn Kiếm, Thành phố Hà Nội, Việt Nam",ĐẶNG THU TRANG,,,
493,MPLC - CÔNG TY CỔ PHẦN ĐẦU TƯ TỔ HỢP THƯƠNG MẠI MELINH PLAZA THANH HÓA,"MELINH PLAZA THANH HOA.,JSC",Công ty cổ phần,"Thương mại, dịch vụ",1060000000000.0,,0968578972,0,"Tầng 5, Shophouse B Tòa nhà Eurowindow Tower, Khu đô thị Eurowindow Garden City, Phường Hạc Thành, Tỉnh Thanh Hóa, Việt Nam",,,,
494,MRBC - Công ty Cổ phần Maroon Bells,MBJSC,Công ty cổ phần,Lĩnh vực khác,1041376750000.0,https://www.pharmacity.vn/,02873076888,02873076888,"248A Nơ Trang Long, Phường 12, Quận Bình Thạnh, Tp. Hồ Chí Minh",,,,
495,MREC - CTCP bất động sản Mỹ,AME PROPERTY,Công ty cổ phần,Bất động sản,1621000000000.0,bondame@bdsmy.com.vn,0948228293,02438584517,"Tòa nhà 54A Nguyễn Chí Thanh, Láng Thượng, Hà Nội",Vũ Thùy Duyên,,,
496,MRVC - Công ty TNHH Kinh doanh Bất động sản Dream City Villas (TÊN CŨ:CT TNHH KINH DOANH BẤT ĐỘNG SẢN TÂN LIÊN PHÁT SÀI GÒN),DREAM CITY VILLAS LLCC,Công ty trách nhiệm hữu hạn,Bất động sản,1958699740000.0,Không có,02835475555,02835475555,"Tòa nhà Sabay Tower, số 11A Hồng Hà, Phường 2, Quận Tân Bình, Thành phố Hồ Chí Minh, Việt Nam",Nguyễn Thị Thu Hương; Phan Thị Hải Lý,,,
497,MSB - Ngân hàng TMCP Hàng Hải Việt Nam,MSB,Công ty cổ phần,Tổ chức tín dụng,31200000000000.0,msb.com.vn,024 3771 8899,024 3771 8899,"54A Nguyễn Chí Thanh, Phường Láng, TP Hà Nội",,Moody's Ratings,Ba3,26/11/2025
498,MSFC - Công ty Tài chính tín dụng tiêu dùng TNHH MB Shinsei (Tên cũ: Công ty Tài chính TNHH MB Shinsei),MSFC,Công ty trách nhiệm hữu hạn,Tổ chức tín dụng,1600000000000.0,https://mcredit.com.vn/,024 371086888,024 371086888,"Tầng 9,10,11,12 Tòa nhà MB Bank, Số 21 Cát Linh, phường Ô Chợ Dừa, Hà Nội",Lê Quốc Ninh; Vũ Thị Hải Phượng,Công ty cổ phần Xếp hạng Tín nhiệm Đầu tư Việt Nam (VIS Ratings),A-,12/06/2025
499,MSGC - CTCP MAY- DIÊM SÀI GÒN,SAIGON GARMENT - MATCH JOINT STOCK COMPANY,Công ty cổ phần,Bất động sản,5049000000000.0,không có,0983183943,9401697,"346 Bến Vân Đồn , P.1, Q.4, TP.HCM",Nguyễn Chi Mai,Công ty cổ phần Sài Gòn Phát Thịnh Ratings (Saigon Ratings),vnBBB-,19/08/2025
500,MSHC - CÔNG TY CỔ PHẦN ĐIỆN MẶT TRỜI MỸ SƠN 2,DIEN MY SON 2,Công ty cổ phần,Sản xuất,350000000000.0,myson22020@gmail.com,02437946868,02437946969,"THÔN PHÚ THUẬN, XÃ MỸ SƠN, HUYỆN NINH SƠN, TỈNH BÌNH THUẬN, VIỆT NAM",Đặng Thanh Bình,,,
501,MSMC - CÔNG TY CỔ PHẦN ĐIỆN MẶT TRỜI MỸ SƠN 1,DIEN MY SON 1,Công ty cổ phần,Sản xuất,410000000000.0,myson112082020@gmail.com,02437946868,02437946969,"THÔN PHÚ THUẬN, XÃ MỸ SƠN, HUYỆN NINH SƠN, TỈNH BÌNH THUẬN, VIỆT NAM",Đặng Thanh Bình,,,
502,MSN - Công ty Cổ phần Tập đoàn Masan,Masan Group,Công ty cổ phần,Lĩnh vực khác,15204919270000.0,https://masangroup.com/,02862563862,02838274115,"Số 23 Lê Duẩn, Phường Sài Gòn, Thành phố Hồ Chí Minh, Việt Nam",,,,
503,MSR - CTCP Masan High-tech Materials,MASAN HIGH-TECH MATERIALS CORPORATION,Công ty cổ phần,Lĩnh vực khác,10991554200000.0,MASANGROUP.COM/MASANRESOURCES,02862563862,02838274115,"Số 23 Lê Duẩn, Phường Sài Gòn, TP HCM",,,,
504,MST - Công ty Cổ phần Đầu tư MST,MST,Công ty cổ phần,Lĩnh vực khác,760043010000.0,www.mmst.com.vn,02466744305,02435553592,"Số 2, Ngõ 159 phố Tây Sơn, Thị trấn Phùng, Huyện Đan Phượng, Thành phố Hà Nội, Việt Nam",,Công ty cổ phần Sài Gòn Phát Thịnh Ratings (Saigon Ratings),vnBB+,03/08/2026
505,MTDC - Công ty cổ phần đầu tư đường Mặt Trời,"SUNWAY INVESTMENT., JSC",Công ty cổ phần,"Thương mại, dịch vụ",150000000000.0,www.ssireit.com.vn,024 39366733,024 39366732,"1C Ngô Quyền, Phường Hoàn Kiếm, Thành Phố Hà Nội",Hà Việt Thắng,,,
506,MTJC - CTCP Đá Mỹ thuật,CTCP Đá Mỹ thuật,Công ty cổ phần,Sản xuất,300000000000.0,tramnth@nhattien.com.vn,(028) 22211777,02822211777,"Số 10 Nguyễn Huệ, Phường Bến Nghé, Quận 1, TP.HCM, Việt Nam",Phạm Thanh Tùng,,,
507,MTPC - Công ty Cổ phần Xây dựng Minh Trường Phú,Minh Truong Phu,Công ty cổ phần,Xây dựng,460000000000.0,congtyminhtruongphu.com,028 2216 3542,028 2216 3542,"64 Nguyễn Đình Chiểu, Phường Đa Kao, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",Đậu Thị Nguyệt,,,
508,MTSC - Công ty Cổ phần Đầu tư Metro Star,METRO STAR INVESTMENT,Công ty cổ phần,Bất động sản,1188000000000.0,https://metrostar.vn/,0907896565,0907896565,"360 Võ Nguyên Giáp, Phường Phước Long A, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam",,,,
509,MTUC - Công ty TNHH Đầu tư và Phát triển Đô thị Minh Tân,Minh Tan Urban LLC,Công ty trách nhiệm hữu hạn,Bất động sản,1466252909000.0,dothiminhtan.com,84 28 3848 6539,84 28 3848 6539,"VP 05.17 Lầu 5, số 277 Võ Nguyên Giáp, Khu phố 4, Phường An Khánh, Thành phố Hồ Chí Minh, Việt Nam",Phạm Kiều My,,,
510,MVJC - CÔNG TY CỔ PHẦN ĐẦU TƯ ĐỊA ỐC MAI VIÊN,MVJ,Công ty cổ phần,Bất động sản,360000000000.0,http://mvj.vn/,02838212184,02838212184,"Tầng hầm B1 đến tầng 7, khu phức hợp Cantavil Premier, số 1 đường Song Hành, phường An Phú, thành phố Thủ Đức, thành phố Hồ Chí Minh",Nguyễn Thảo Phương,,,
511,MVTC - Công ty TNHH Mặt trời Vũng Tàu,"SUN VUNG TAU CO.,LTD",Công ty trách nhiệm hữu hạn,Bất động sản,22570000000000.0,,0945687799,0949359119,"Khu đô thị đường 3 tháng 2, phường Phước Thắng, Thành phố Hồ Chí Minh, Việt Nam",TRẦN LAN ANH,,,
512,MWG - Công ty cổ phần Đầu tư Thế Giới Di Động,MWG,Công ty cổ phần,Lĩnh vực khác,475431197.0,mwg.vn,02838125960,02838125961,"Số 222 Yersin, Phường Phú Cường, Thành phố Thủ Dầu Một, Tỉnh Bình Dương, Việt Nam",,,,
513,MYPC - Công ty TNHH Đầu tư và Kinh doanh Địa ốc Mỹ Phú,Công ty TNHH Đầu tư và Kinh doanh Địa ốc Mỹ Phú,Công ty trách nhiệm hữu hạn,Bất động sản,665000000000.0,none,0865851300,0835174488,"Tầng L11, Tòa nhà Vincom Center Đồng Khởi, 72 Lê Thánh Tôn, Phường Bến Nghé, Quận 1, TP Hồ Chí Minh, Việt Nam",Nguyễn Văn Phúc,,,
514,MZNC - Công ty TNHH Miza Nghi Sơn,Miza Nghi Sơn,Công ty trách nhiệm hữu hạn,Sản xuất,1021600000000.0,https://www.miza.vn/vi,02377778668,02377778668,"Khu công nghiệp số 05 thuộc Khu kinh tế Nghi Sơn, Xã Trường Lâm, Tỉnh Thanh Hóa",,,,
515,NAB - Ngân hàng Thương mại Cổ phần Nam Á,NAM A BANK,Công ty cổ phần,Tổ chức tín dụng,20588222820000.0,www.namabank.com.vn,0839296699,0839296688,"201-203 Cách Mạng Tháng Tám, Phường Bàn Cờ, TP Hồ Chí Minh",,Moody's Ratings,B2,12/02/2026
516,NAKC - CÔNG TY CP CÔNG NGHỆ KHẢI AN,CTY CP CÔNG NGHỆ KHẢI AN,Công ty cổ phần,Lĩnh vực khác,106000000000.0,http://congtynamkhang.com.vn,0933878932,02838944990,"Phòng 702A tầng 7, tòa nhà Centre Point, 106 Nguyễn Văn Trỗi, P.8, Q. Phú Nhuận, TPHCM, Việt Nam",LÊ NGUYỄN NGỌC TRƯỜNG ÂN,,,
517,NALC - Công ty TNHH Nam Land,NALC,Công ty trách nhiệm hữu hạn,Bất động sản,335000000000.0,GOTECLAND.VN,0838330888,0838330888,"Tầng 3, Tòa nhà An Phú Plaza, 117-119 Lý Chính Thắng, Phường 07, Quận 03, Thành phố Hồ Chí Minh",,,,
518,NANC - Công ty cổ phần Đầu tư và Kinh Doanh Nam An,NANC,Công ty cổ phần,"Thương mại, dịch vụ",6800000000000.0,không có,0886068499,02432002677,"CL9-06-Khu đô thị Vinhomes Ocean Park 2 - The Empire, Xã Nghĩa Trụ, Huyện Văn Giang, Tỉnh Hưng Yên",Hoàng Quốc Thủy,,,
519,NBB - Công ty cổ phần Đầu tư Năm Bảy Bảy,Công ty NBB,Công ty cổ phần,Bất động sản,1004756560000.0,www.nbb.com.vn,0862577577,0862577755,"Tòa nhà CII TOWER, 152 Điện Biên Phủ, Phường 25, Quận Bình Thạnh, TP. Hồ Chí Minh",Lưu Hải Ca; Lưu Hải Ca; Nguyễn Bá Lân; Nguyễn Bá Lân,,,
520,NBCC - Công ty TNHH Tư vấn Đầu tư Nguyên Bình,Nguyên Bình,Công ty trách nhiệm hữu hạn,Bất động sản,300000000000.0,Không có,0349588303,0349588303,"Tầng 11, Toà nhà Sunshine Center, 16 Phạm Hùng, Phường Mỹ Đình 2, Quận Nam Từ Liêm, Tp. Hà Nội",NGUYỄN VĂN CƯỜNG,,,
521,NCGC - CÔNG TY CỔ PHẦN TẬP ĐOÀN NAM CƯỜNG HÀ NỘI,NAM CUONG HA NOI GROUP,Công ty cổ phần,Lĩnh vực khác,4500000000000.0,namcuong.com.vn,02463251888,02463251888,"LÔ 24 ĐƯỜNG ĐÔNG A, KHU ĐÔ THỊ MỚI HÒA VƯỢNG, XÃ LỘC HÒA, TP NAM ĐỊNH, TỈNH NAM ĐỊNH",Lê Văn Cương,,,
522,NCLC - Công ty TNHH Đâu tư và Phát triển Bất động sản Nice Star,NCLC,Công ty trách nhiệm hữu hạn,Bất động sản,100000000.0,nicestar.cbonds@gmail.com,0399991745,0399991745,"Số 2.01, Tầng 2, Khu thương mại – dịch vụ, Dự án khu thương mại, dịch vụ, văn phòng, officetel và căn hộ tại số 08 đường Hoàng Minh Giám, Phường Phú Nhuận, TP.HCM, Việt Nam",Lý Trường An,,,
523,NCRC - Công ty Cổ phần Câu lạc bộ Du thuyền và nghỉ dưỡng Cam Ranh,NCRC,Công ty cổ phần,Bất động sản,170000000000.0,https://vinhnhatrang.com.vn/,02583522032,02583522032,"Số 2 Nguyễn Thị Minh Khai, phường Lộc Thọ, thành phố Nha Trang, tỉnh Khánh Hòa",Lê Anh Đức,,,
524,NDTC - Công ty TNHH Nam Đại Thành Phú Quốc,NDT,Công ty trách nhiệm hữu hạn,Bất động sản,700000000000.0,https://tanadaithanh.vn/,0903910565,02839714338,"Xóm 2 Ấp 7 Phường An Thới, Thành phố Phú Quốc, tỉnh Kiên Giang",Nguyễn Thị Mai Phương,,,
525,NELC - Công ty cổ phần Công nghệ Thương mại GIGA1,GIGA1,Công ty cổ phần,"Thương mại, dịch vụ",360000000000.0,netlink.vn,02462698999,02462691999,"Tầng 4, Tòa nhà Star Tower, lô D32 Khu đô thị mới Cầu Giấy, phường Yên Hòa, Quận Cầu Giấy, Tp.HCM",LÊ PHƯƠNG THẢO,,,
526,NEOC - Công ty CP Neo Floor (tên cũ là: CÔNG TY CỔ PHẦN SẢN XUẤT VÀ CÔNG NGHỆ VẬT LIỆU HOÀNG GIA PHA LÊ),NEO FLOOR,Công ty cổ phần,Sản xuất,600000000000.0,neofloor.com.vn,02258830102,02258830102,"Lô CN4.1 Khu Công nghiệp Minh Phương Đình Vũ, Khu Kinh tế Đình Vũ – Cát Hải, Phường Đông Hải 2, Quận Hải An, Thành phố Hải Phòng, Việt Nam",,,,
527,NEWC - Công ty cổ phần đầu tư và phát triển NEWCO,NEWCO JSC,Công ty cổ phần,Bất động sản,1150000000000.0,,02877727789,0,"Phòng 1, lầu 2, 02 Song Hành, Phường An Phú, TP. Thủ Đức, TP. Hồ Chí Minh",Nguyễn Hữu Điển,Công ty cổ phần Sài Gòn Phát Thịnh Ratings (Saigon Ratings),vnBB-,25/11/2024
528,NFSC - CTCP NOVA FINAL SOLUTION,NOVA FINAL SOLUTION JSC,Công ty cổ phần,Bất động sản,3586000000000.0,không có,089665121,0,"Số 5.07 Khu chung cư kết hợp thương mại, văn phòng lô X (Sunrise City North), số 27 Nguyễn Hữu Thọ, Phường Tân Hưng, Thành phố Hồ Chí Minh, Việt Nam.",Bùi Đạt Chương,,,
529,NGMC - CT TNHH ĐẦU TƯ VÀ BẤT ĐỘNG SẢN NGỌC MINH,NGOC MINH (HNX),Công ty trách nhiệm hữu hạn,Bất động sản,350000000000.0,không có,0938485358,0938485358,"Căn Thương mại số 1.01, Tầng 1, Khu Thương mại – Dịch vụ thuộc Khu II, Cao ốc Văn phòng – Thương mại dịch vụ, Căn hộ The Prince Residence, số 17-19-21 Nguyễn Văn Trỗi, Phường Phú Nhuận, TP Hồ Chí Minh",Võ Thị Kim Khoa,,,
530,NHHC - Công ty CP Đầu tư & Xây dựng Thủy điện Nậm Hồng,CTCP TĐ Nậm Hồng,Công ty cổ phần,Sản xuất,244534000000.0,Không có,02123856160,0,"Số 234, Ngõ 8, Đường Chu Văn Thịnh, Tổ 11, Phường Tô Hiệu, tỉnh Sơn La",,,,
531,NHPC - Công ty cổ phần Bất động sản Ngôi nhà Hạnh phúc,Công ty cổ phần Bất động sản Ngôi nhà Hạnh phúc,Công ty cổ phần,Bất động sản,50000000000.0,0,02839333789,0,"96 Lũy Bán Bích, Phường Tân Thới Hòa, Quận Tân Phú, TP. Hồ Chí Minh",,,,
532,NHRC - Công ty Cổ phần Nova Hotels & Resorts,NHRC,Công ty cổ phần,Bất động sản,1017999000000.0,Không áp dụng,0932688711,0932688711,"Số 2.01, Tầng 2, Khu Thương mại – Dịch vụ, Dự án Khu thương mại, dịch vụ, văn phòng, officetel và căn hộ tại số 08 đường Hoàng Minh Giám, Phường 09, Quận Phú Nhuận, Thành phố Hồ Chí Minh, Việt Nam",Lê Thị Việt Thu,,,
533,NHSC - Công ty CP Xuất nhập khẩu AgriS Ninh Hòa,BHS-NH,Công ty cổ phần,Sản xuất,607500000000.0,nhs.com.vn,02583620416,0258 3620143,"THÔN PHƯỚC LÂM, XÃ NINH XUÂN, THỊ XÃ NINH HÒA, TỈNH KHÁNH HÒA, VIỆT NAM",NGUYỄN QUỐC VIỆT,,,
534,NICC - Công ty cổ phần Đầu tư Nhơn Trạch,NIC,Công ty cổ phần,Bất động sản,660000000000.0,dongsaigon.vn,(84-251) 3561462 - 3561463,(84-251) 3561461,"Đường số 7 khu đô thị Đông Sài Gòn, xã Long Tân, huyện Nhơn Trạch, tỉnh Đồng Nai",Quách Văn Đức,,,
535,NKDC - Công ty Cổ phần Thương mại Dịch vụ Nhựa bao bì Kiến Đức,Công ty Cổ phần Thương mại Dịch vụ Nhựa bao bì Kiến Đức,Công ty cổ phần,Sản xuất,100000000000.0,innoplas.com.vn,0837657130,0837657133,"Lầu 1, Tòa nhà Tani – Office số 475 D Lê Trọng Tấn, Phường Sơn Kỳ, Quận Tân Phú, TP. Hồ Chí Minh",Đinh Thị Phương Thảo,,,
536,NLAC - CÔNG TY CỔ PHẦN THỦY ĐIỆN NẬM LA,"NAMLA.,JSC",Công ty cổ phần,Sản xuất,315000000000.0,https://thuydiennamla.com.vn/,02123854600,02123854112,"Số 144, Đường Trường Chinh, Tổ 4, Phường Quyết Thắng, Thành phố Sơn La, Tỉnh Sơn La, Việt Nam",Vũ Ngọc Tú,,,
537,NLG - Công ty Cổ phần Đầu tư Nam Long,NLG CORP,Công ty cổ phần,Bất động sản,3850753040000.0,www.namlongvn.com,02854161718,02854161719,"6 NGUYỄN KHẮC VIỆN, P. TÂN PHÚ, Q. 7, TP. HỒ CHÍ MINH",Dương Tấn Vinh,,,
538,NLPC - CT TNHH NOVA LUCKY PALACE,NOVA LUCKY PALACE,Công ty trách nhiệm hữu hạn,Bất động sản,100000000000.0,Không có,0932239682,0932239682,"Phòng 702A Tầng 7, Tòa nhà CentrePoint, 106 Nguyễn Văn Trỗi, Phường 8, Quận Phú Nhuận, Thành phố Hồ Chí Minh, Việt Nam",Nguyễn Ngọc Bảo Ân,,,
539,NLSC - Công ty Cổ phần Phát triển Tầm nhìn Năng Lượng Sạch,NLS,Công ty cổ phần,Sản xuất,1265000000.0,https://www.bamboocap.com.vn/,0983348998,+84862991188,"Tỉnh lộ 639, thôn 8 Đông, xã Mỹ Thắng, huyện Phù Mỹ, tỉnh Bình Định",Phạm Minh Tuấn,,,
540,NPEC - CÔNG TY CỔ PHẦN ĐẦU TƯ NĂNG LƯỢNG NAM PHƯƠNG,CÔNG TY CỔ PHẦN ĐẦU TƯ NĂNG LƯỢNG NAM PHƯƠNG,Công ty cổ phần,Lĩnh vực khác,800000000000.0,Không có,02839292936,84 28 3929 2982,"F-02 Tầng 1, Khu phức hợp The Manor – Giai đoạn 2, số 89 Nguyễn Hữu Cảnh, Phường 22, Quận Bình Thạnh, Thành phố Hồ Chí Minh, Việt Nam.",Nguyễn Quang Thịnh,,,
541,NPHC - Công ty CP Quốc tế Ngàn Phố,NPI CORP,Công ty cổ phần,Lĩnh vực khác,100000000000.0,nganphocorp.com,0918885151,02438385151,"Tầng 21, Tháp A, Tòa nhà Sông Đà, Quận Nam Từ Liêm, Hà Nội",Nguyễn Tuấn Anh,,,
542,NPIC - CTCP THỦY ĐIỆN NẬM PUNG - INTRACOM,CÔNG TY CỔ PHẦN THỦY ĐIỆN NẬM PUNG - INTRACOM,Công ty cổ phần,Sản xuất,120000000000.0,intracom.com.vn,02143820523,02143822668,"SỐ NHÀ 002 ĐƯỜNG PHAN HUY CHÚ, PHƯỜNG CỐC LẾU, TP LÀO CAI, TỈNH LÀO CAI",Đặng Ánh Hoàng,,,
543,NPMC - CT TNHH KHAI THÁC CHẾ BIẾN KHOÁNG SẢN NÚI PHÁO,NUIPHAO MINING,Công ty trách nhiệm hữu hạn,Sản xuất,10792915155000.0,https://masanhightechmaterials.com/vi/subsidiary/nui-phao-mining-company/,02803 824 063,02803 824 063,"Xóm Suối Cát, Xã An Khánh, Tỉnh Thái Nguyên, Việt Nam",,,,
544,NPPC - CTCP THỦY ĐIỆN NẬM PIA,SNP,Công ty cổ phần,Sản xuất,215000000000.0,thuydiennampia.com,02123856160,02123856160,"XÃ CHIỀNG HOA, TỈNH SƠN LA",Trương Đình An,,,
545,NQBC - Công ty Cổ phần Phát triển Bất động sản Nhật Quang,Nhat Quang PD Corp.,Công ty cổ phần,Bất động sản,1950000000000.0,www.congtynhatquang.com,0964349033,0286681 4618,Lầu 3 ACM Building 96 Cao Thắng Phường Bàn Cờ Thành phố Hồ Chí Minh Việt Nam,BÙI THỊ THU HẰNG; HỨA KIẾN QUỐC,,,
546,NRC - Công ty cổ phần tập đoàn Danh Khôi,TẬP ĐOÀN DANH KHÔI,Công ty cổ phần,Bất động sản,925977620000.0,www.danhkhoi.com.vn,028 3622 1399,0,"Số 3 Trần Nhật Duật, Phường Tân Định, Quận 1, Thành Phố Hồ Chí Minh, Việt Nam",Lê Thống Nhất,,,
